M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06,M06.flow,M06.p95_ms,M06.status,M07,M07.met,M07.status,M07.total,M08,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,composition,lidar_ues,n_lidar_active,n_ues,scheduler,seed,transient_excluded
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.008690909090909091,ok,0.0029125,0.0106875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,579362555,False
ue2_qfi9,0.25,2.0,2.25,3.5,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.010259090909090909,ok,0.0032090909090909093,0.010665625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,579362555,False
ue2_qfi9,0.25,2.0,2.25,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.008677272727272728,ok,0.0032102272727272726,0.0106703125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,579362555,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.008906818181818182,ok,0.0027738636363636364,0.009546875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,661058651,False
ue4_qfi82,0.0,1.5,3.0,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.010565909090909091,ok,0.002948863636363636,0.00955,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,661058651,False
ue4_qfi82,0.0,1.5,3.0,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.008913636363636363,ok,0.002948863636363636,0.0095515625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,661058651,False
ue2_qfi9,0.25,2.25,3.0,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999959137644545,proxy,5,0.9999911826353339,55836.8,ok,0.008729545454545455,ok,0.0028352272727272727,0.0102703125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,87989972,False
ue1_qfi9,0.25,2.0,2.5,3.25,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999940339594149,proxy,5,0.9999801388640187,55836.8,ok,0.010320454545454546,ok,0.0030511363636363635,0.010278125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,87989972,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999937050101915,proxy,5,0.9999801388640187,55835.2,ok,0.008745454545454546,ok,0.00305,0.010278125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,87989972,False
ue3_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999996996538296,proxy,5,0.9999984982691479,56184.0,ok,0.009181818181818182,ok,0.002873863636363636,0.0107734375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,161576974,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999993355945899,proxy,5,0.9999981797038016,56185.6,ok,0.010902272727272727,ok,0.0031272727272727272,0.0107796875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,161576974,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999996996538296,proxy,5,0.9999984982691479,56184.0,ok,0.009188636363636364,ok,0.003128409090909091,0.01078125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,161576974,False
ue1_qfi9,0.5,2.0,2.5,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999895620897465,proxy,5,0.9999567549005456,55728.0,ok,0.008711363636363637,ok,0.0028295454545454544,0.010790625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,35492826,False
ue1_qfi9,0.25,2.0,3.0,3.5,ok,0.0,ok,ue1_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999895620897465,proxy,5,0.9999567549005456,55728.0,ok,0.010347727272727272,ok,0.0030136363636363637,0.0108125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,35492826,False
ue1_qfi9,0.25,2.0,2.5,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,199.99999999999994,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9997760954207948,proxy,5,0.9988894215557869,55702.4,ok,0.008729545454545455,ok,0.0030136363636363637,0.0108125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,35492826,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999893960638999,proxy,5,0.9999794898351126,55830.4,ok,0.008815909090909091,ok,0.002777272727272727,0.0094078125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,376383645,False
ue3_qfi9,0.25,1.75,2.25,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999875606825708,proxy,5,0.9999709649588531,55830.4,ok,0.010379545454545454,ok,0.0029852272727272726,0.0093984375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,2.75,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,376383645,False
ue3_qfi9,0.25,1.75,2.25,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999875606825708,proxy,5,0.9999709649588531,55830.4,ok,0.0088,ok,0.002984090909090909,0.0093953125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,2.75,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,376383645,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999974141174329,proxy,5,0.9999888797953101,56027.2,ok,0.008977272727272728,ok,0.002885227272727273,0.010546875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,PF,1746484539,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999984444885737,proxy,5,0.9999940316510139,56027.2,ok,0.010690909090909091,ok,0.0031670454545454545,0.0105734375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,Reservation,1746484539,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999974141174329,proxy,5,0.9999888797953101,56027.2,ok,0.009006818181818182,ok,0.0031670454545454545,0.010571875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,1,0,4,TwoTier,1746484539,False
ue3_qfi9,0.25,2.0,2.75,3.5,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999965810151338,proxy,5,0.9999919240211914,55841.6,ok,0.008745454545454546,ok,0.0028034090909090908,0.0098484375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,1826701614,False
ue3_qfi9,0.25,2.0,2.5,3.25,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999988104273602,proxy,5,0.9999979120483165,55843.2,ok,0.01035909090909091,ok,0.003003409090909091,0.009834375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,1826701614,False
ue3_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999988104273602,proxy,5,0.9999979120483165,55843.2,ok,0.008734090909090908,ok,0.003003409090909091,0.0098296875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,1826701614,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999948600198934,proxy,5,0.999989684796503,55864.0,ok,0.008795454545454546,ok,0.0028590909090909092,0.01025625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,1367864806,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999971220287497,proxy,5,0.9999944724301024,55862.4,ok,0.010488636363636363,ok,0.0031170454545454544,0.0102671875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,1367864806,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999971220287497,proxy,5,0.9999944724301024,55862.4,ok,0.008802272727272728,ok,0.0031170454545454544,0.01026875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,1367864806,False
ue2_qfi9,0.25,2.0,2.25,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,101.00000000000043,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.999996732404296,proxy,5,0.9999930609108247,56062.4,ok,0.009065909090909091,ok,0.002934090909090909,0.01185625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,2.75,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,1097657231,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,101.00000000000043,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999969828010224,proxy,5,0.9999930609108247,56064.0,ok,0.010815909090909091,ok,0.0032011363636363635,0.0118640625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,1097657231,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue3_qfi82,0,0,0,101.00000000000043,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999969828010224,proxy,5,0.9999930609108247,56064.0,ok,0.00909090909090909,ok,0.0031988636363636364,0.0118859375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,1097657231,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.008690909090909091,ok,0.0029125,0.0106875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,579362555,False
ue2_qfi9,0.25,2.0,2.25,3.5,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.010259090909090909,ok,0.0032090909090909093,0.010665625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,579362555,False
ue2_qfi9,0.25,2.0,2.25,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999986917785298,proxy,5,0.9999971252298935,55750.4,ok,0.008677272727272728,ok,0.0032102272727272726,0.0106703125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,579362555,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.008906818181818182,ok,0.0027738636363636364,0.009546875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,661058651,False
ue4_qfi82,0.0,1.5,3.0,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.010565909090909091,ok,0.002948863636363636,0.00955,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,661058651,False
ue4_qfi82,0.0,1.5,3.0,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,101.50000000000014,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.99999639860307,proxy,5,0.99999292952147,55971.2,ok,0.008913636363636363,ok,0.002948863636363636,0.0095515625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,661058651,False
ue2_qfi9,0.25,2.25,3.0,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999959137644545,proxy,5,0.9999911826353339,55836.8,ok,0.008729545454545455,ok,0.0028352272727272727,0.0102703125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,87989972,False
ue1_qfi9,0.25,2.0,2.5,3.25,ok,0.0,ok,ue3_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999940339594149,proxy,5,0.9999801388640187,55836.8,ok,0.010320454545454546,ok,0.0030511363636363635,0.010278125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,87989972,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999937050101915,proxy,5,0.9999801388640187,55835.2,ok,0.008745454545454546,ok,0.00305,0.010278125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,87989972,False
ue3_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999996996538296,proxy,5,0.9999984982691479,56184.0,ok,0.009181818181818182,ok,0.002873863636363636,0.0107734375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue2_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,161576974,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999993355945899,proxy,5,0.9999981797038016,56185.6,ok,0.010902272727272727,ok,0.0031272727272727272,0.0107796875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,161576974,False
ue4_qfi82,0.0,1.5,1.5,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999996996538296,proxy,5,0.9999984982691479,56184.0,ok,0.009188636363636364,ok,0.003128409090909091,0.01078125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,161576974,False
ue1_qfi9,0.5,2.0,2.5,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999895620897465,proxy,5,0.9999567549005456,55728.0,ok,0.008711363636363637,ok,0.0028295454545454544,0.010790625,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue4_qfi82,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,35492826,False
ue1_qfi9,0.25,2.0,3.0,3.5,ok,0.0,ok,ue1_qfi82,0,0,0,100.50000000000026,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999895620897465,proxy,5,0.9999567549005456,55728.0,ok,0.010347727272727272,ok,0.0030136363636363637,0.0108125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,35492826,False
ue1_qfi9,0.25,2.0,2.5,3.5,ok,0.0,ok,ue3_qfi82,0,0,0,199.99999999999994,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9997760954207948,proxy,5,0.9988894215557869,55702.4,ok,0.008729545454545455,ok,0.0030136363636363637,0.0108125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.25,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,35492826,False
ue2_qfi9,0.25,2.0,2.25,3.25,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999893960638999,proxy,5,0.9999794898351126,55830.4,ok,0.008815909090909091,ok,0.002777272727272727,0.0094078125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,376383645,False
ue3_qfi9,0.25,1.75,2.25,3.0,ok,0.0,ok,ue1_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999875606825708,proxy,5,0.9999709649588531,55830.4,ok,0.010379545454545454,ok,0.0029852272727272726,0.0093984375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,2.75,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,376383645,False
ue3_qfi9,0.25,1.75,2.25,3.0,ok,0.0,ok,ue2_qfi82,0,0,0,100.99999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999875606825708,proxy,5,0.9999709649588531,55830.4,ok,0.0088,ok,0.002984090909090909,0.0093953125,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,2.75,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,376383645,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999974141174329,proxy,5,0.9999888797953101,56027.2,ok,0.008977272727272728,ok,0.002885227272727273,0.010546875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue1_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,PF,1746484539,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999984444885737,proxy,5,0.9999940316510139,56027.2,ok,0.010690909090909091,ok,0.0031670454545454545,0.0105734375,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,Reservation,1746484539,False
ue3_qfi9,0.25,2.0,3.0,3.25,ok,0.0,ok,ue2_qfi82,0,0,0,101.4999999999997,data,ok,2.0,False,,proxy,3,0,,,,,,ok,,,,ok,,,ok,,,,,ok,0.9999974141174329,proxy,5,0.9999888797953101,56027.2,ok,0.009006818181818182,ok,0.0031670454545454545,0.010571875,ok,ue1_qfi82,0.0,49,10.0,data,ok,0.0,ue3_qfi9,3.0,ok,,,,,,,,ok,,,pending,,pending,sensor_dense,0,0,4,TwoTier,1746484539,False
ue3_qfi1,0.5,10.5,15.5,15.5,ok,0.0005400619219569375,ok,ue2_qfi9,0,3,4,1000.4999999999998,data,ok,2.0,False,,proxy,3,0,,ue1_qfi2,1.0,152,150.0,ok,,ue1_qfi2,15.564,ok,,3,ok,3,,ue2_qfi2,0.9650428000000001,ok,0.999558267917033,proxy,5,0.9993006955143579,12436705.6,ok,0.004654545454545455,ok,0.18447045454545455,0.020225,ok,ue1_qfi82,0.0,99,10.0,data,ok,0.0,ue3_qfi1,15.0,ok,,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,drone_heavy,0,0,4,PF,1826701614,False
